AXSM,22.09
AXTA,4.21
AXTI,2.66
AY,3.72
AYI,5.22
AYRO,7.59
AYTU,14.76
AYX,6.03
AZ,0.44
AZEK,5.68
AZO,1.61
AZPN,3.63
AZRE,1.52
AZTA,12.06
AZYO,1.34
AZZ,1.07
B,1.12
BA,1.38
BAC,1.16
BACA,0.05
BACK,4.31
BAER,0.15
BAFN,0.34
BAH,1.29
BALL,5.83
BALY,5.05
BAM,0.94
BANC,2.42
BAND,7.35
BANF,2.52
BANL,2.48
BANR,1.83
BANX,0.31
BAOS,4.45
BAP,1.49
BARK,7.23
BASE,2.18
BATL,0.61
BATRA,8.98
BAX,1.45
BB,3.2
BBAI,21.94
BBBY,22.32
BBCP,2.23
BBDC,0.81
BBGI,0.12
BBIG,15.74
BBIO,12.54
BBLG,1.04
BBLN,2.34
BBSI,1.42
BBU,0.04
BBUC,0.34
BBW,12.82
BBWI,3.92
BBY,5.37
BC,4.22
BCAB,7.8
BCAN,0.45
BCBP,2.07
BCC,2.2
BCDA,0.15
BCE,1.5
BCEL,8.06
BCLI,10.44
BCML,0.78
BCO,3.82
BCOV,1.08
BCOW,0.28
BCPC,0.85
BCRX,16.67
BCSA,0.03
BCSF,0.67
BCTX,12.21
BDC,2.64
BDL,0.36
BDN,7.96
BDSX,1.45
BDTX,5.63
BDX,0.75
BE,10.31
BEAM,17.57
BEAT,2.33
BECN,3.81
BEEM,15.63
BELFA,1.07
BEN,5.33
BEP,0.31
BEPC,2.43
BERY,1.37
BF.B,2.96
BFAC,0.01
BFAM,1.62
BFC,3.15
BFH,8.85
BFI,3.24
BFIN,0.12
BFLY,15.84
BFRG,24.52
BFRI,1.86
BFS,1
BFST,1.34
BG,3.72
BGCP,2.39
BGFV,23.04
BGI,0.13
BGRY,1.66
BGS,14.74
BGSF,0.34
BGXX,5.74
BH.A,0.14
BHAC,0.05
BHAT,2.82
BHB,0.78
BHC,7.75
BHE,1.93
BHF,2.05
BHG,2.7
BHIL,4.03
BHLB,4.1
BHM,3.93
BHR,3.06
BHVN,12.06
BIAF,1.38
BIG,35.19
BIGC,8.86
BILL,9.11
BIMI,15.16
BIO,1.31
BIOC,1.27
BIOL,1.15
BIOR,3.87
BIOS,0.05
BIOX,1.25
BIP,0.59
BIPC,3.57
BIRD,8.99
BITE,0.02
BITF,4.02
BIVI,2.9
BJ,2.72
BJDX,0.48
BJRI,5.31
BK,0.7
BKCC,0.68
BKD,7.09
BKE,11.45
BKH,1.95
BKI,3.78
